,auctionDate,auctionId,auctionName,currency,genre,guaranteeLine,highEst,id,isSold,lowEst,medium,salePrice,title,type,auctionYear,lot_desc
0,7-Apr-17,american-art-n09633,American Art,USD,['American'],PAUL KELPE,12000,1,TRUE,8000,"['Board/panel', 'Oil on panel']",60000,COMPOSITION #518,['Abstract'],2017,"signed PAUL KELPE and dated 35 (lower right) oil on Masonite 18 by 23 inches (45.7 by 58.4 cm) Provenance  The Contemporary Arts Gallery, New York William H. McNeill, Connecticut Colebrook Senior and Community Center, Colebrook, Connecticut (acquired as a gift from the above and sold: Stateline Auctions, New Canaan, Connecticut, September 11, 2016, lot 93) Acquired from the above sale by the present owner"
1,7-Apr-17,american-art-n09633,American Art,USD,['American'],MILTON AVERY,25000,10,TRUE,15000,"['Body colour/gouache', 'Paper']",15000,BOUQUET,"['Flower', 'Still life']",2017,"signed MILTON AVERY (center right); signed Milton Avery , titled Bouquet , and dated 1938 ( verso ) gouache on paper 24 by 18 inches (61 by 45.7 cm) Provenance  Alpha Gallery, Boston DC Moore Gallery, New York Pensler Galleries, Washington, DC, 2006 Acquired from the above by the present owner"
2,7-Apr-17,american-art-n09633,American Art,USD,"['American', 'Sculpture']",ADOLPH ALEXANDER WEINMAN,15000,100,TRUE,10000,"['Bronze', 'Sculpture']",16250,DUET,"['Animal', 'Mythological', 'Mythology', 'Sculpture']",2017,"inscribed A.A. WEINMAN, dated 1922 FECIT with copyright and stamped with the ROMAN BRONZE WORKS N.Y. foundry mark bronze, green brown patina height: 24 inches (61 cm.) Provenance  Sale:Christie's, New York, March 5, 2009, lot 162 Acquiredfrom the above sale by the present owner"
3,7-Apr-17,american-art-n09633,American Art,USD,['American'],PAUL CADMUS,8000,101,TRUE,6000,"['Ink', 'Works on paper']",8750,GEORGE PLATT LYNES,['Portrait'],2017,"signed Paul Cadmus , titled George Platt Lynes and dated 37 (lower right) black ink on paper 13 1/2 by 10 inches (34 by 25.5 cm) Provenance  Estate of the artist Jon Anderson, Nantucket Sale: Swann Galleries, New York, September 23, 2014, lot 410 Acquiredfrom the above sale by the present owner"
4,7-Apr-17,american-art-n09633,American Art,USD,['American'],PAUL RAPHAEL MELTSNER,5000,102,TRUE,3000,['Oil on canvas'],7500,PORTRAIT OF GERTRUDE LAWRENCE,['Portrait'],2017,"signed Paul Meltsner (lower right) oil on canvas 38 by 33 inches (96.5 by 83.8 cm) Provenance  Herbert and Nora Kaye Ross, California (sold: Butterfield's, San Francisco, December 5, 1988, lot 69) Dr. and Mrs. Jerome Franklin, Beverly Hills (acquiredfrom the above sale) Acquired from the above by the present owner"
5,7-Apr-17,american-art-n09633,American Art,USD,['American'],FREDERICK WILLIAM MACMONNIES,10000,103,TRUE,7000,['Bronze'],6875,BACCHANTE WITH INFANT FAUN,['Allegory'],2017,"inscribed F. MacMonnies, stamped with the Roman Bronze Works N-Y- foundry mark, and dated 1894 bronze, dark green and brown patina height: 33 1/8 inches (84.2 cm) Provenance  Private Collection, Maryland, by 1931 By descent from the above to the present owner"
6,7-Apr-17,american-art-n09633,American Art,USD,"['American', 'Modern']",PAUL CADMUS,7000,104,TRUE,5000,['Body colour/gouache'],18750,"BARK, LEAVES AND FEATHER",['Still life'],2017,"signed Cadmus and annotated (lower right); signed PAUL CADMUS , titled BARK, LEAVES AND FEATHER and annotated (on the backing) pencil, casein, crayon on casein ground Fabrano paper Oval: 14 1/2 by 18 inches (37 by 45.7 cm) Executed circa 1954. Provenance  Raydon Galleries, New York Sale: Heritage Auctions, Dallas, December 7, 2007, lot 23629 Acquiredfrom the above sale by the present owner"
7,7-Apr-17,american-art-n09633,American Art,USD,"['Western', 'American']",EDGAR ALWIN PAYNE,70000,105,TRUE,50000,['Oil on canvas'],50000,ARIZONA TRAIL,['Landscape'],2017,"signed EDGAR PAYNE (lower right); titled ARIZONA TRAIL and numbered 108 (on the reverse) oil on canvas 24 by 28 inches (61 by 71.1 cm) Provenance  First Federal Savings, Phoenix, Arizona Acquired from the above by the present owner, 1997"
8,7-Apr-17,american-art-n09633,American Art,USD,"['Western', 'American']",OLAF WIEGHORST,30000,106,TRUE,20000,['Oil on canvas'],20000,NAVAJO COUNTRY,['Landscape'],2017,"signed O. Wieghorst and with the artist's device (lower right) oil on canvas 20 by 24 inches (50.8 by 61 cm) Provenance  William Sr. and Dorothy Harmsen, Denver, 1968 Gift from the above,2001"
9,7-Apr-17,american-art-n09633,American Art,USD,"['Western', 'American']",EDGAR ALWIN PAYNE,30000,107,TRUE,20000,['Oil on canvas'],20000,MOUNTAIN LANDSCAPE,['Landscape'],2017,"signed EDGAR PAYNE (lower left) oil on canvas 20 by 24 inches (50.8 by 61 cm) Provenance  Goldfield Galleries, Los Angeles Sale: Butterfield &amp; Butterfield, San Francisco, October 8, 1980, lot 251 Private Collection Acquired from the above by the present owner"
